id,status,old_contam,new_contam,attempt_used,date,domain,old_len,new_len
bfo6ja,changed,1,0,1,2026-05-06,https://crypto.news/stablecoins-enter-ai-payments-as-solana-and-google-launch-pay-sh/,493,556
afw2y4,changed,0,0,1,2026-05-06,https://coingeek.com/uk-sets-new-rules-for-fund-tokenization-under-current-regulations/,724,758
k84ksn,changed,1,0,1,2026-05-05,https://crypto.news/bank-groups-challenge-senator-thom-tillis-over-stablecoin-proposal/,493,758
rpb10h,changed,1,0,1,2026-05-04,https://crypto.news/western-union-brings-usdpt-to-solana-in-global-payments-push/,493,627
qbcqaa,changed,3,0,1,2026-05-04,https://crypto.news/korean-crypto-exchanges-push-back-against-strict-10m-won-aml-trigger/,791,797
