id,idx,date,domain,confidence,score,reasons,desc_len,url,initiative,description_head
bfo6ja,146,2026-05-06,crypto.news,high,9,read_more|title_overlap_too_low,493,https://crypto.news/stablecoins-enter-ai-payments-as-solana-and-google-launch-pay-sh/,Stablecoins enter AI payments as Solana and Google launch Pay.sh,2 hours ago News Read more MoonPay says stablecoin regulation opened the door but infrastructure must follow MoonPay says stablecoin regulation opened the door but infrastructure must follow 2 days ago News Read more US banks reject CLARITY Act stablecoin deal days before Senate vote US banks reject
afw2y4,149,2026-05-06,coingeek.com,high,9,site_nav|title_overlap_too_low,724,https://coingeek.com/uk-sets-new-rules-for-fund-tokenization-under-current-regulations/,UK sets new rules for fund tokenization under current regulations,"“Tokenisation has the potential to play an important role in asset management, and its adoption will be driven by firms and investors,” said Simon Walls, executive director of markets at the FCA, in an April 30 press release . “Alongside wider work on wholesale digital market infrastructure, this gu"
k84ksn,214,2026-05-05,crypto.news,high,9,read_more|title_overlap_too_low,493,https://crypto.news/bank-groups-challenge-senator-thom-tillis-over-stablecoin-proposal/,Bank groups challenge Senator Thom Tillis over stablecoin proposal,2 hours ago News Read more MoonPay says stablecoin regulation opened the door but infrastructure must follow MoonPay says stablecoin regulation opened the door but infrastructure must follow 2 days ago News Read more US banks reject CLARITY Act stablecoin deal days before Senate vote US banks reject
rpb10h,246,2026-05-04,crypto.news,high,9,read_more|title_overlap_too_low,493,https://crypto.news/western-union-brings-usdpt-to-solana-in-global-payments-push/,Western Union brings USDPT to Solana in global payments push,2 hours ago News Read more MoonPay says stablecoin regulation opened the door but infrastructure must follow MoonPay says stablecoin regulation opened the door but infrastructure must follow 2 days ago News Read more US banks reject CLARITY Act stablecoin deal days before Senate vote US banks reject
qbcqaa,247,2026-05-04,crypto.news,high,12,read_more|load_more|site_nav,791,https://crypto.news/korean-crypto-exchanges-push-back-against-strict-10m-won-aml-trigger/,Korean crypto exchanges push back against strict 10M won AML trigger,Read more: SAP to acquire Prior Labs in push to scale tabular AI capabilities Read more about Crypto assets DeFiLlama Exchange Load More Best crypto platforms May 2026 Explore Deep Dives Opinion Read more Crypto conference season looked loud in 2025 but it barely made a dent in crypto media traffic 
